,comments,CleanedText
4235,,
4236,Very nice bag i lovet it... same as in the pic...,Very nice bag i lovet it. same as in the pic.
4237,Nice bag.Thanks American Tourister & Amazon,Nice bag. Thanks American Tourister & Amazon
4238,The great color combination perfect sizeI can put everything of my school in it,The great color combination perfect sizeI can put everything of my school in it
4239,It's amazing,It's amazing
4240,Nice,Nice
4241,Good,Good
4242,The bag is nice but I received bag with bad finishing. Threads are getting out from everywhere from bag.. Look into it...,The bag is nice but I received bag with bad finishing. Threads are getting out from everywhere from bag. Look into it.
4243,Good,Good
4244,It's ok,It's ok
4245,Good product,Good product
4246,Good product,Good product
4247,जैसा बताया वैसा है नही,जैसा बताया वैसा है नही
4248,Got different bag and very chip quality,Got different bag and very chip quality
4249,Quality is not gud,Quality is not gud
4250,Orginal bag like it using for school  It's been 2 months still going good go for it,Orginal bag like it using for school  It's been 2 months still going good go for it
4251,Amazing product light weight good for travelling and schooling,Amazing product light weight good for travelling and schooling
4252,Poor quality,Poor quality
4253,superb bag in this price range,superb bag in this price range
4254,Good,Good
4255,Not 32 lits,Not 32 lits
4256,But its not Best cushioning inside.,But its not Best cushioning inside.
4257,Dislike,Dislike
4258,Perfect for traveling with less packing,Perfect for traveling with less packing
4259,Very nice product go for it...,Very nice product go for it.
4260,Bag 🎒bad quality and made in China,Bag 🎒bad quality and made in China
4261,Product is not same ; COLOR CHANGE,Product is not same ; COLOR CHANGE
4262,Very good quality and design.im very happy to use this bag. Good comfort.,Very good quality and design. im very happy to use this bag. Good comfort.
4263,Best product  but it is not laptop bag,Best product  but it is not laptop bag
4264,Very nice bag...Didn't have a rain cover...The bag seems to be small but had lot of space inside...Happy with this product...,Very nice bag. Didn't have a rain cover. The bag seems to be small but had lot of space inside. Happy with this product.
4265,Good product and most importantly sexy look,Good product and most importantly sexy look
4266,Fair Quality,Fair Quality
4267,Bad,Bad
4268,"Excellent colour, material... overall it's wonderful.","Excellent colour, material. overall it's wonderful."
4269,It's getting dirty..... Bag is lossing it's colour,It's getting dirty. Bag is lossing it's colour
4270,Good,Good
4271,It is not as per price even after more than 50% discount... More over sticking was open so got returned,It is not as per price even after more than 50% discount. More over sticking was open so got returned
4272,The chains are of very cheap quality specially the green one of the small pouch on the very first time when I opened the chain and trying to close it stuck and is now not working,The chains are of very cheap quality specially the green one of the small pouch on the very first time when I opened the chain and trying to close it stuck and is now not working
4273,Very good quaility go for it it is the best,Very good quaility go for it it is the best
4274,THE BAG IS AWESOME AND SPACIOUS. MADE OF HIGH QUALITY MATERIAL. GO FOR IT.,THE BAG IS AWESOME AND SPACIOUS. MADE OF HIGH QUALITY MATERIAL. GO FOR IT.
4275,Nice product....light weight and comfortable,Nice product. light weight and comfortable
4276,Ok,Ok
4277,This product manufacturers not good,This product manufacturers not good
4278,I like this productGood looksComfortableEsay carry,I like this productGood looksComfortableEsay carry
4279,Perfect thing which I needed. Looks exactly as shown in the picture.,Perfect thing which I needed. Looks exactly as shown in the picture.
4280,Great quality but not as good as thaught. Can buy similar product at half the price from local markets.,Great quality but not as good as thaught. Can buy similar product at half the price from local markets.
4281,Useless doesn't look like American tourister,Useless doesn't look like American tourister
4282,Not that much good,Not that much good
4283,No laptop seeve,No laptop seeve
4284,best,best
4285,As same as shown in the pic,As same as shown in the pic
4286,good,good
4287,I am getting pain on my shoulders when it is over loaded,I am getting pain on my shoulders when it is over loaded
4288,Yellowyish colour not matching with my bag,Yellowyish colour not matching with my bag
4289,Wonderful product. Enough space. Easy to carry.,Wonderful product. Enough space. Easy to carry.
4290,The bag has good space for keeping all your valuables . Really worth for money . Go for it,The bag has good space for keeping all your valuables . Really worth for money . Go for it
4291,"Excellent for ₹850 /- on festival season discount,","Excellent for ₹850 /- on festival season discount,"
4292,I wish I could give a zero star rating. the bag has really bad material and the colours from the bag wee falling and removing like plastic. the chain on the first zip was different and on the last was different. it feels cheap and is horrible.I WARN YOU. ITS PURE TRASH. DONT BUY IT. TRUST ME,I wish I could give a zero star rating. the bag has really bad material and the colours from the bag wee falling and removing like plastic. the chain on the first zip was different and on the last was different. it feels cheap and is horrible. I WARN YOU. ITS PURE TRASH. DONT BUY IT. TRUST ME
4293,This product does not waterproof or water resistant. Even a simple water splash can get things inside the bag wet. Zip quality is poor and messy. Print on the bag is very dull and does not standout. Not spacious and the quality is not up to the mark. Try different brands.,This product does not waterproof or water resistant. Even a simple water splash can get things inside the bag wet. Zip quality is poor and messy. Print on the bag is very dull and does not standout. Not spacious and the quality is not up to the mark. Try different brands.
4294,Don't buy this bag waste of money,Don't buy this bag waste of money
4295,Awesome 👍,Awesome 👍
4296,Umbrella pocket broken . Busting strength should not be ok,Umbrella pocket broken . Busting strength should not be ok
4297,Looks like cheap material and is not long lastingI got it in ₹740 at this price it is goos,Looks like cheap material and is not long lastingI got it in ₹740 at this price it is goos
4298,Bad quality,Bad quality
4299,"I am so dissapointed seeing the product. Something that looks so good on the site can turn out into something so hideous...thats strange. The quality of the bag is just like polythene. Also, looks so worn out and old. No doubt I'm gonna return this. But thats another trouble...the return policy for this product is too complicated. Be ware before ordering this.","I am so dissapointed seeing the product. Something that looks so good on the site can turn out into something so hideous. thats strange. The quality of the bag is just like polythene. Also, looks so worn out and old. No doubt I'm gonna return this. But thats another trouble. the return policy for this product is too complicated. Be ware before ordering this."
4300,It doesn't having waterproof it is good for traveling  and light weight,It doesn't having waterproof it is good for traveling  and light weight
4301,Product quality is not good,Product quality is not good
4302,Its awsome product...very light weight,Its awsome product. very light weight
4303,For this money.. You can get something better for the shopAverage material and it's completely a lose for money.Not recommended,For this money. You can get something better for the shopAverage material and it's completely a lose for money. Not recommended
4304,Nice quality. Product received is as shown in description. Happy with purchase thank you Amazon.,Nice quality. Product received is as shown in description. Happy with purchase thank you Amazon.
4305,Its really light weight  durable and affordable,Its really light weight  durable and affordable
4306,"The material is nice and,also light weighted.","The material is nice and,also light weighted."
4307,Excellent buy for the price I got.,Excellent buy for the price I got.
4308,Very nice product.It give 100% satisfaction for the we paid.Good one,Very nice product. It give 100% satisfaction for the we paid. Good one
4309,Due to small size Not comfortable for traveling,Due to small size Not comfortable for traveling
4310,Awesome structure and nice ratee,Awesome structure and nice ratee
4311,Don't think more.....its always better....,Don't think more. its always better.
4312,Very very nice bag......Value for money...........,Very very nice bag. Value for money.
4313,Not bad,Not bad
4314,Guys plz don't buy this products.. It's totally fake products. When you hold this bag. U will feel that.. Material is very cheap..i don't knw why they sale.. Fake products under the Brand name,Guys plz don't buy this products. It's totally fake products. When you hold this bag. U will feel that. Material is very cheap. i don't knw why they sale. Fake products under the Brand name
4315,Not so bad,Not so bad
4316,Its amazing backpackIts original,Its amazing backpackIts original
4317,Happy to bring it...nice product.,Happy to bring it. nice product.
4318,Zip strap can be improved,Zip strap can be improved
4319,0 water resistance and bag is made with poor quality material,0 water resistance and bag is made with poor quality material
4320,Quality is bad and when I purchased it from my near by store it is good because it is American tourist company and bad compared to Amazon,Quality is bad and when I purchased it from my near by store it is good because it is American tourist company and bad compared to Amazon
4321,Quality not so good,Quality not so good
4322,Sir this bag is awsm,Sir this bag is awsm
4323,Good,Good
4324,Worst product,Worst product
4325,Nice bag..the look is awesome.,Nice bag. the look is awesome.
4326,"Best quality bag , really light weight ,","Best quality bag , really light weight ,"
4327,Awesome productFor traveling and school or college,Awesome productFor traveling and school or college
4328,ये बैग अमेरिकन ट्यूरिस्टर का नही हे ।नकली बैग,ये बैग अमेरिकन ट्यूरिस्टर का नही हे ।नकली बैग
4329,Good comfortable,Good comfortable
4330,Very good,Very good
4331,The product was in excellent condition and quality was as expected.It was well delivered on time.Happy with the product.,The product was in excellent condition and quality was as expected. It was well delivered on time. Happy with the product.
4332,Nice bag with best rate,Nice bag with best rate
4333,Product is not as fine as shown in images ..... As far as space is concerned ... There is enough space in d bag .. it can carry a lot of things,Product is not as fine as shown in images . As far as space is concerned . There is enough space in d bag . it can carry a lot of things
4334,Good productValue for money,Good productValue for money
4335,Best bag at reasonable prices,Best bag at reasonable prices
4336,I can use 1 time travel and I will washing the bag they are completely different,I can use 1 time travel and I will washing the bag they are completely different
4337,"The media could not be loaded.
                



 Yes I see in description it is waterproof","The media could not be loaded.
                



 Yes I see in description it is waterproof"
4338,Poor quality,Poor quality
4339,Great Value For Money Product,Great Value For Money Product
4340,product was fine. but not as good as they show.,product was fine. but not as good as they show.
4341,Awesome product .I Like it.....,Awesome product . I Like it.
4342,Very good purchase at this price,Very good purchase at this price
4343,Ok,Ok
4344,Good but not water resistant,Good but not water resistant
4345,"Best, but lack of Rain cover","Best, but lack of Rain cover"
4346,Fine,Fine
4347,Fantastic bag within this price...,Fantastic bag within this price.
4348,good,good
4349,"The stiches of the  bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now","The stiches of the  bag is started coming out in 6 months. Feel the cloth is of poor quality. how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now"
4350,The product is ok,The product is ok
4351,Very nice  good quality,Very nice  good quality
4352,Very bad quality,Very bad quality
4353,Not good only looking in mobile is better,Not good only looking in mobile is better
4354,Ausum quality in this price,Ausum quality in this price
4355,the bag is  not at all good....it's build quality is not at all good....it's material is worst....i dont when it will tear...worst bag of AT...not at all satisfied..total disatisgfication,the bag is  not at all good. it's build quality is not at all good. it's material is worst. i dont when it will tear. worst bag of AT. not at all satisfied. total disatisgfication
4356,Super good product...value for money,Super good product. value for money
4357,Super product...Good looking...Nd more space3,Super product. Good looking. Nd more space3
4358,Good,Good
4359,Very V. V. V. Bindass bag very cool and waterproof bag,Very V. V. V. Bindass bag very cool and waterproof bag
4360,Very good product. Enough to carry laptop and basic things for a travel.,Very good product. Enough to carry laptop and basic things for a travel.
4361,I have been always a fan of American tourister but this time it's OK because it got teared inside.,I have been always a fan of American tourister but this time it's OK because it got teared inside.
4362,I just buy it before 3 months and now I jst wash it once and the bag material started coming out the worst experience with the product,I just buy it before 3 months and now I jst wash it once and the bag material started coming out the worst experience with the product
4363,Not suitable for regular use,Not suitable for regular use
4364,"Good bag for school students,stylish......","Good bag for school students,stylish."
4365,Fist copy of American tourister,Fist copy of American tourister
4366,Worst quality a seam slip. I am now concerned if this was a original bag or a poor quality of an original bag. It’s just been 1.2 months for the purchase. Not at all water resistant.,Worst quality a seam slip. I am now concerned if this was a original bag or a poor quality of an original bag. It’s just been 1.2 months for the purchase. Not at all water resistant.
4367,Bad quality,Bad quality
4368,Average,Average
4369,This product did not satisfied me......,This product did not satisfied me.
4370,Good product by AT,Good product by AT
4371,The packaging was worst... Just wrapped in some plastic,The packaging was worst. Just wrapped in some plastic
4372,"AT does not requires any review, their products are awesome..","AT does not requires any review, their products are awesome."
4373,Duplicated,Duplicated
4374,The media could not be loaded.,The media could not be loaded.
4375,"Nice colour & product, quickly Delivered","Nice colour & product, quickly Delivered"
4376,Okay bag. Not great in Quality,Okay bag. Not great in Quality
4377,More spacious than it looks from outside with good quality. Worth buying in a given price.,More spacious than it looks from outside with good quality. Worth buying in a given price.
4378,"Bag is good, Quality is not satisfied as per expectation and amount.","Bag is good, Quality is not satisfied as per expectation and amount."
4379,The bag design and cloths are bestBut the water stand net is very wost,The bag design and cloths are bestBut the water stand net is very wost
4380,Wonderful and the quality of this bag is superb and very spacious also just go for it,Wonderful and the quality of this bag is superb and very spacious also just go for it
4381,Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity,Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity
4382,Got damaged within 2 months,Got damaged within 2 months
4383,Go to showroom and buy,Go to showroom and buy
4384,i am using it for 3 months. Teared at edges of bags. Quality of material is low,i am using it for 3 months. Teared at edges of bags. Quality of material is low
4385,Don't Buy this product,Don't Buy this product
4386,Very unhappy with this product... I brought for my Brother but such a big company brand #americantourister was now a day's nor focusing on quality... With usage of 2 month's only bag was damaged .. stitches was gone from different place... It look like 2 year old bag.. so much disappointed...,Very unhappy with this product. I brought for my Brother but such a big company brand #americantourister was now a day's nor focusing on quality. With usage of 2 month's only bag was damaged . stitches was gone from different place. It look like 2 year old bag. so much disappointed.
4387,Good,Good
4388,"Product is very handy.Cost,Finish ,Utilization Good.","Product is very handy. Cost,Finish ,Utilization Good."
4389,2 years and still going strong,2 years and still going strong
4390,Mast,Mast
4391,I am pretty much happy with the product.,I am pretty much happy with the product.
4392,Very good original American Tourister bag,Very good original American Tourister bag
4393,The quality of the product is not very good. Just an average product and space wise good only but you can not carry too weight products.,The quality of the product is not very good. Just an average product and space wise good only but you can not carry too weight products.
4394,Not good for daily use.. It's quality is also not good.. Not satisfied,Not good for daily use. It's quality is also not good. Not satisfied
4395,Returned this bag due to it's quality.. not good as shown in images,Returned this bag due to it's quality. not good as shown in images
4396,Good product,Good product
4397,This bag is very nice and you can have good deal,This bag is very nice and you can have good deal
4398,Product is good,Product is good
4399,The quality is not as per the brand and price very low quality,The quality is not as per the brand and price very low quality
4400,Quality is not as expected.,Quality is not as expected.
4401,Had gifted this to a friend and she really liked it. Quality too is quite nice,Had gifted this to a friend and she really liked it. Quality too is quite nice
4402,West of money,West of money
4403,"It's not worthy, first of all it's expired model means it's not latest and second this is, if someone want latest model bag then I'll suggest to them go-to mall because mall gives 50percent discount , last I visited at mall and the latest model bag cost wast 1500 hundreds only /-","It's not worthy, first of all it's expired model means it's not latest and second this is, if someone want latest model bag then I'll suggest to them go-to mall because mall gives 50percent discount , last I visited at mall and the latest model bag cost wast 1500 hundreds only /-"
4404,"Waste of money, Quality is very low it will not able to take extra weight also. Low-quality stitching.","Waste of money, Quality is very low it will not able to take extra weight also. Low-quality stitching."
4405,Good,Good
4406,Good,Good
4407,Good product purchased for School bag for rough use.,Good product purchased for School bag for rough use.
4408,210,210
4409,it very good and very good qualitya genuen product,it very good and very good qualitya genuen product
4410,I like this bag,I like this bag
4411,Very helpful for me,Very helpful for me
4412,Good for short journey,Good for short journey
4413,What a great bag,What a great bag
4414,Bed quality,Bed quality
4415,its good u know,its good u know
4416,Spacipus and nice,Spacipus and nice
4417,The bag is good looking but the fabric is very thin. Not sure if it will last long.,The bag is good looking but the fabric is very thin. Not sure if it will last long.
4418,"Amazing, Nice and quality product,thank you Amazon","Amazing, Nice and quality product,thank you Amazon"
4419,Just.... Perfect as Described...- All Zips are smooth- Light Weight- Colour also.. good,Just. Perfect as Described.- All Zips are smooth- Light Weight- Colour also. good
4420,Good I love it,Good I love it
4421,Americana tourist as i expect its same thanks,Americana tourist as i expect its same thanks
4422,Looks great and sturdy,Looks great and sturdy
4423,Its a great bag for its price.,Its a great bag for its price.
4424,Good  best prices,Good  best prices
4425,I bought at rs 699 amazing,I bought at rs 699 amazing
4426,Bad quality,Bad quality
4427,Light weight and travel friendly. Awsome product,Light weight and travel friendly. Awsome product
4428,Not durable. Doesn’t have padding anywhere so no protection for anything delicate inside the bag.,Not durable. Doesn’t have padding anywhere so no protection for anything delicate inside the bag.
4429,Tcomfortable  to traveling,Tcomfortable  to traveling
4430,Poor quality...fake product delivered,Poor quality. fake product delivered
4431,Very nice and durable product but white colour gets dirty easily,Very nice and durable product but white colour gets dirty easily
4432,"It looks like a local 4/500 Rs bag,And not a original brand.Very Sad","It looks like a local 4/500 Rs bag,And not a original brand. Very Sad"
4433,Made in China,Made in China
4434,Good prodect &smart look,Good prodect &smart look
4435,Quality is good but stiches are opening.,Quality is good but stiches are opening.
4436,Quality and Product was very good,Quality and Product was very good
4437,I  like this product,I  like this product
4438,Nice bag for one day traveling 👌,Nice bag for one day traveling 👌
4439,I love this bag,I love this bag
4440,"Compare to price , Quality is not good. As per brand, Quality not satisfied.","Compare to price , Quality is not good. As per brand, Quality not satisfied."
4441,Quality is not good,Quality is not good
4442,Good product . Rate is very good compare to market.,Good product . Rate is very good compare to market.
4443,Nice bag good quality,Nice bag good quality
4444,very well  product,very well  product
4445,"The branding ""American Tourister"" has been completely erased at the first washIt seems the product has a manufacturing / printing defect and sold through Amazon to unsuspecting customers like me who trust Amazon as a marketplace for genuine and defect-free products / services","The branding ""American Tourister"" has been completely erased at the first washIt seems the product has a manufacturing / printing defect and sold through Amazon to unsuspecting customers like me who trust Amazon as a marketplace for genuine and defect-free products / services"
4446,This bag is amazing,This bag is amazing
4447,Perfect bag for school college or for travelling..... Too much space in bag..... Perfect quality.... 💯satisfied with bag... Thank you Amazon,Perfect bag for school college or for travelling. Too much space in bag. Perfect quality. 💯satisfied with bag. Thank you Amazon
4448,Awesome American tourister beg,Awesome American tourister beg
4449,There is best products,There is best products
4450,I loved this color is good. Good product I would suggest to buy,I loved this color is good. Good product I would suggest to buy
4451,Amazing product with amazing colour,Amazing product with amazing colour
4452,It is total wastage of money. It does not carry Any weight of books and it gets torned off easily. The material of the product is very low grade. Didn't like the product at all.,It is total wastage of money. It does not carry Any weight of books and it gets torned off easily. The material of the product is very low grade. Didn't like the product at all.
4453,excellent... value for money,excellent. value for money
4454,Poor quality bag,Poor quality bag
4455,Bag is very nice,Bag is very nice
4456,Copy product,Copy product
4457,"I like its design but little disappointed with front logo quality,saw how long it go","I like its design but little disappointed with front logo quality,saw how long it go"
4458,Sach a nice bag,Sach a nice bag
4459,Good,Good
4460,"Very nice big and best. Genuine product must buy to use for college , office","Very nice big and best. Genuine product must buy to use for college , office"
4461,Good quality,Good quality
4462,Nice produced but thin,Nice produced but thin
4463,I got this for 800. Worth it !!,I got this for 800. Worth it .
4464,Nice product from Amazon.,Nice product from Amazon.
4465,Product was good...Delivered in time...,Product was good. Delivered in time.
4466,Awsm bag,Awsm bag
4467,It's look great in images only and reality it's not looking this much good and I thought it's a very big brand and and good quality but its not like this,It's look great in images only and reality it's not looking this much good and I thought it's a very big brand and and good quality but its not like this
4468,Stylish and value for money,Stylish and value for money
4469,"Nice bag and water resistivity is fantastic, storage capacity I'd also good.Moreover,It is a nice bag.","Nice bag and water resistivity is fantastic, storage capacity I'd also good. Moreover,It is a nice bag."
4470,"Quality of cloth, bag finishing not good","Quality of cloth, bag finishing not good"
4471,Not original it's jalander made,Not original it's jalander made
4472,Very good product in school don t use only collage,Very good product in school don t use only collage
4473,Not a quality product by American tourister. Defective. Don't buy,Not a quality product by American tourister. Defective. Don't buy
4474,Not the expected quality . I dint think its worth the money.,Not the expected quality . I dint think its worth the money.
4475,Good,Good
4476,NYC bag and also light and attractive look,NYC bag and also light and attractive look
4477,"My bag got torn. It has very bad quality. Please don't buy it. I believe, buying cloths and bags are foolish thing to do. It's fraud. It's not original American tourister bag. It got torn within 15 days. Waste of money.","My bag got torn. It has very bad quality. Please don't buy it. I believe, buying cloths and bags are foolish thing to do. It's fraud. It's not original American tourister bag. It got torn within 15 days. Waste of money."
4478,Amzing beg ... I m beleived this product .... Really good beg according to price,Amzing beg . I m beleived this product . Really good beg according to price
4479,It's best off value of money,It's best off value of money
4480,Item is looking good.I hope I can use it for long time.,Item is looking good. I hope I can use it for long time.
4481,"Water resistance didn't checked yet, otherwise it's light weight and durability","Water resistance didn't checked yet, otherwise it's light weight and durability"
4482,"Bag is exceptionally good and stylish. But not for regular use. Chances of wear and tear is high, as on my bag the white coated material has already started peeling off within few months.","Bag is exceptionally good and stylish. But not for regular use. Chances of wear and tear is high, as on my bag the white coated material has already started peeling off within few months."
4483,Bad product . All the threads were hanging loose when i get the bag .Waste of money . Images show that bag is good but not in reality,Bad product . All the threads were hanging loose when i get the bag . Waste of money . Images show that bag is good but not in reality
4484,Very Bad product. Looking like bag of Rs 300. I recommend don't Buy this bag. This is one of the worst product ever,Very Bad product. Looking like bag of Rs 300. I recommend don't Buy this bag. This is one of the worst product ever
4485,"The media could not be loaded.
                



 I don't like this product 🙄","The media could not be loaded.
                



 I don't like this product 🙄"
4486,fine,fine
4487,ACC to the price it is not so good as shown in the dashboard .It's quality should be better one as it send.,ACC to the price it is not so good as shown in the dashboard . It's quality should be better one as it send.
4488,I won't recommend this to anybody.  Low quality product from American Tourister.,I won't recommend this to anybody.  Low quality product from American Tourister.
4489,Excellent bag plz go for it,Excellent bag plz go for it
4490,Nothing to say☺,Nothing to say☺
4491,Average quality material  used,Average quality material  used
4492,Worst product. It's doesn't look like original product. It's a duplicate one. It's not even water proof. Very disappointed ☹️,Worst product. It's doesn't look like original product. It's a duplicate one. It's not even water proof. Very disappointed ☹️
4493,"The media could not be loaded.
                



 Good but not best","The media could not be loaded.
                



 Good but not best"
4494,Super bag ...,Super bag .
4495,"""water resistance"", ""for travelling"" and ""light weight"".","""water resistance"", ""for travelling"" and ""light weight""."
4496,Its the best bag for the price 1150/-you should buy it .also packaging was awesome plus fast delivery too,Its the best bag for the price 1150/-you should buy it . also packaging was awesome plus fast delivery too
4497,Very lasting and waterproof bag . Lots of space,Very lasting and waterproof bag . Lots of space
4498,Quality not good,Quality not good
4499,Value for money,Value for money
4500,Superb bag. Spacious and stylish.,Superb bag. Spacious and stylish.
4501,This product is a best,This product is a best
4502,"Very stylish and durable, can carry full load on it without any problem","Very stylish and durable, can carry full load on it without any problem"
4503,Good quality value for money,Good quality value for money
4504,Awesome bag.... I suggest for buying this product.😍,Awesome bag. I suggest for buying this product.😍
4505,Dont buy very cheap in qualityI have to replace it with another by giving more thousand rupeesThank God the bag was in warranty periodAnd was used only 3 months,Dont buy very cheap in qualityI have to replace it with another by giving more thousand rupeesThank God the bag was in warranty periodAnd was used only 3 months
4506,Quality in terms of price,Quality in terms of price
4507,Quality like local bags...Waste for 💰...,Quality like local bags. Waste for 💰.
4508,Nice product for best price,Nice product for best price
4509,Please provide a rain cover. Value for money.,Please provide a rain cover. Value for money.
4510,I did not expect that American tourister does sell so cheap quality products too. Hmm.. we need to be careful next time,I did not expect that American tourister does sell so cheap quality products too. Hmm. we need to be careful next time
4511,Awesome product thanks Amazon,Awesome product thanks Amazon
4512,To low quality itt is very bad,To low quality itt is very bad
4513,"The zip chain of the first compartment always gets stuck in with the material of the bag, Other than that everything is fine","The zip chain of the first compartment always gets stuck in with the material of the bag, Other than that everything is fine"
4514,Not as expected,Not as expected
4515,Lots of space,Lots of space
4516,Value for money,Value for money
4517,Good so far 2 month s,Good so far 2 month s
4518,Easy and contains lots of space,Easy and contains lots of space
4519,👌👌Nice bag and good product..,👌👌Nice bag and good product.
4520,Amazing product by Americans tourister,Amazing product by Americans tourister
4521,Low quality not original product,Low quality not original product
4522,Bag material is so good,Bag material is so good
4523,Nice bag and quality is also very good. Happy with bag,Nice bag and quality is also very good. Happy with bag
4524,Overall nice product,Overall nice product
4525,Very nice bagTotally  genune productNot hesitate about product qualityQuality is best  @ sumptuous,Very nice bagTotally  genune productNot hesitate about product qualityQuality is best  @ sumptuous
4526,From joints/stitching torn out within two months (approx) of use,From joints/stitching torn out within two months (approx) of use
4527,It is very nice but water resistance is poor,It is very nice but water resistance is poor
4528,Best product as compared to price,Best product as compared to price
4529,"Very lighted in weight, and very comfortable","Very lighted in weight, and very comfortable"
4530,Don't buy very bad bag it is,Don't buy very bad bag it is
4531,Awesome bag. Loved it. Good quality,Awesome bag. Loved it. Good quality
4532,Quality is AWS,Quality is AWS
4533,Best backpack ever,Best backpack ever
4534,Good and stylish,Good and stylish
4535,I used it n very good,I used it n very good
4536,Really superb one,Really superb one
4537,Don't buy,Don't buy
4538,Water resistance is not too good just okay,Water resistance is not too good just okay
4539,Very goodNice,Very goodNice
4540,Nice product. Brand name says everything.,Nice product. Brand name says everything.
4541,nice bags super,nice bags super
4542,Worst ...worst....,Worst . worst.
4543,"Good quality, Good colour & lightweight,","Good quality, Good colour & lightweight,"
4544,The size looks small but the quality and durability is good. This is my 4th American Tourister bag. Always happy with the quality.,The size looks small but the quality and durability is good. This is my 4th American Tourister bag. Always happy with the quality.
4545,Value for money,Value for money
4546,Very low quality bag,Very low quality bag
4547,Good quality 👍,Good quality 👍
4548,Nice product not small as I pretended and durable. Thanks for the timely delivery,Nice product not small as I pretended and durable. Thanks for the timely delivery
4549,Bad & good quality,Bad & good quality
4550,In 2 months product damage very bad quality,In 2 months product damage very bad quality
4551,very good purchase at rs 959.. good quality and same as shown in the pic.. go for it!!,very good purchase at rs 959. good quality and same as shown in the pic. go for it.
4552,Value for money,Value for money
4553,The net design bottle holder tore after less than 1 month of use,The net design bottle holder tore after less than 1 month of use
4554,Very good product,Very good product
4555,"Third quality product, don't buy. Thanks","Third quality product, don't buy. Thanks"
4556,Very good bag!,Very good bag.
4557,Product is nice,Product is nice
4558,not at all a good quality.,not at all a good quality.
4559,Awesome Brand American Tourister,Awesome Brand American Tourister
4560,Quality is totally differs not a good deal,Quality is totally differs not a good deal
4561,Very reliable and high quality product,Very reliable and high quality product
4562,Very good product,Very good product
4563,Amazing but can have more pockets.,Amazing but can have more pockets.
4564,Very good product,Very good product
4565,good qiality bag,good qiality bag
4566,Niice product with reasonable price.,Niice product with reasonable price.
4567,Amazing experience with this Còól Tourister.,Amazing experience with this Còól Tourister.
4568,Pls try to return this product,Pls try to return this product
4569,Product quality is good but very high price. it should be under 600 rupees only,Product quality is good but very high price. it should be under 600 rupees only
4570,Don't buy it is dublicate,Don't buy it is dublicate
4571,I like this bag very good,I like this bag very good
4572,"it's not waterproof ,,all about nice","it's not waterproof ,,all about nice"
4573,Good quality bag.....,Good quality bag.
4574,It's look like d- mall,It's look like d- mall
4575,Nice bag and mainly for travelling it's very useful,Nice bag and mainly for travelling it's very useful
4576,Made in china,Made in china
4577,Perfect fitting and it doesn't have a laptop sleeve,Perfect fitting and it doesn't have a laptop sleeve
4578,Light weight,Light weight
4579,not water resistant,not water resistant
4580,Best Price,Best Price
4581,Very good product,Very good product
4582,Very nice bag,Very nice bag
4583,Good product,Good product
4584,Very bad product guyz please don't buy....i purchased it...within a month it damages & teard off from bottom please don't buy i personally say,Very bad product guyz please don't buy. i purchased it. within a month it damages & teard off from bottom please don't buy i personally say
4585,Love you products,Love you products
4586,Quality is very bad.,Quality is very bad.
4587,Nice product.....As well as nice size for college or travelling,Nice product. As well as nice size for college or travelling
4588,Very spacious and light weight. A best keep.,Very spacious and light weight. A best keep.
4589,Wrost,Wrost
4590,Too small... Not similar to pics shown. Only one slot is there,Too small. Not similar to pics shown. Only one slot is there
4591,A big thumps up...... go for it,A big thumps up. go for it
4592,I had to gift this to my friend and i had delivered it at my friends address and he found it soo bad he claimed the product is really yucck.......Worthless,I had to gift this to my friend and i had delivered it at my friends address and he found it soo bad he claimed the product is really yucck. Worthless
4593,The cloth quality is very low,The cloth quality is very low
4594,Product is genuine..,Product is genuine.
4595,Beautiful bag for my school going 8 years old son,Beautiful bag for my school going 8 years old son
4596,"This is a school bag, not for traveling.","This is a school bag, not for traveling."
4597,Good 👌,Good 👌
4598,Bad experience with this bag. Got Torn inside.,Bad experience with this bag. Got Torn inside.
4599,Very poor quality product.,Very poor quality product.
4600,Zips are bad. Not waterproof.,Zips are bad. Not waterproof.
4601,Just awesome product...,Just awesome product.
4602,Not suitable for a school bag.,Not suitable for a school bag.
4603,Ek dum great fully,Ek dum great fully
4604,This bag is of very good quality. It's very spacious and has a good design.,This bag is of very good quality. It's very spacious and has a good design.
4605,Super bag..very nice..its waterproof i tested myself... And stylish..good product from amazon.Its like the same in as photo.,Super bag. very nice. its waterproof i tested myself. And stylish. good product from amazon. Its like the same in as photo.
4606,Good product,Good product
4607,This is a good bag a this price tag,This is a good bag a this price tag
4608,Very bad quality material. Plz don't buy this bag.,Very bad quality material. Plz don't buy this bag.
4609,That its bottle keeper gotted teared after 2days only,That its bottle keeper gotted teared after 2days only
4610,Good products. Colour full...High quality Product,Good products. Colour full. High quality Product
4611,Very cheaper quality....,Very cheaper quality.
4612,Not good product,Not good product
